Speed,TS_Sent,TS_Recv,Latency_ms
89.836,1765894974.064110,1765894974.064000,-0.110
64.703,1765894974.074341,1765894974.074000,-0.341
46.108,1765894974.084599,1765894974.085000,0.401
39.148,1765894974.094881,1765894974.095000,0.119
14.599,1765894974.105032,1765894974.105000,-0.032
62.772,1765894974.115180,1765894974.115000,-0.180
47.060,1765894974.125470,1765894974.136000,10.530
49.883,1765894974.135776,1765894974.136000,0.224
30.378,1765894974.145917,1765894974.146000,0.083
25.831,1765894974.156080,1765894974.156000,-0.080
97.809,1765894974.166355,1765894974.167000,0.645
96.986,1765894974.176647,1765894974.177000,0.353
37.757,1765894974.186790,1765894974.187000,0.210
12.146,1765894974.197016,1765894974.197000,-0.016
99.950,1765894974.207268,1765894974.207000,-0.268
83.522,1765894974.217519,1765894974.218000,0.481
63.213,1765894974.227668,1765894974.228000,0.332
26.820,1765894974.237809,1765894974.238000,0.191
35.078,1765894974.247962,1765894974.248000,0.038
11.151,1765894974.258103,1765894974.268000,9.897
85.136,1765894974.268337,1765894974.268000,-0.337
78.080,1765894974.278587,1765894974.279000,0.413
49.433,1765894974.288995,1765894974.289000,0.005
89.982,1765894974.299232,1765894974.299000,-0.232
99.466,1765894974.309504,1765894974.310000,0.496
24.090,1765894974.319647,1765894974.320000,0.353
50.481,1765894974.329778,1765894974.330000,0.222
44.500,1765894974.339937,1765894974.340000,0.063
81.670,1765894974.350094,1765894974.350000,-0.094
49.540,1765894974.360326,1765894974.360000,-0.326
62.417,1765894974.370572,1765894974.371000,0.428
89.308,1765894974.380710,1765894974.381000,0.290
47.290,1765894974.390847,1765894974.401000,10.153
21.226,1765894974.400988,1765894974.401000,0.012
4.913,1765894974.411230,1765894974.411000,-0.230
52.466,1765894974.421546,1765894974.422000,0.454
14.784,1765894974.431798,1765894974.432000,0.202
55.039,1765894974.441960,1765894974.452000,10.040
93.451,1765894974.452120,1765894974.452000,-0.120
91.249,1765894974.462360,1765894974.463000,0.640
55.562,1765894974.472591,1765894974.473000,0.409
97.536,1765894974.482753,1765894974.483000,0.247
50.877,1765894974.492996,1765894974.493000,0.004
73.526,1765894974.503225,1765894974.503000,-0.225
37.600,1765894974.513468,1765894974.514000,0.532
85.270,1765894974.523648,1765894974.534000,10.352
7.177,1765894974.533887,1765894974.534000,0.113
20.147,1765894974.544144,1765894974.544000,-0.144
26.731,1765894974.554380,1765894974.555000,0.620
61.606,1765894974.564506,1765894974.565000,0.494
70.993,1765894974.574649,1765894974.585000,10.351
82.385,1765894974.584802,1765894974.585000,0.198
